title,tags
Mine (Taylor's Version),mine (taylor's version) taylor swift 121 g major
Everybody Wants To Rule The World,everybody wants to rule the world tears for fears 112 g major
No Role Modelz,no role modelz j. cole 100 a# minor
Tattoo,tattoo loreen 150 d# minor
Rara Vez,"rara vez taiu, milo j 120 f minor"
VAGABUNDO,"vagabundo sebastian yatra, manuel turizo, beï¿½ï 127 b minor"
august,august taylor swift 90 f major
LUNA,"luna junior h, peso pluma 128 a minor"
Miracle (with Ellie Goulding),"miracle (with ellie goulding) calvin harris, ellie goulding 143 a major"
Nonsense,nonsense sabrina carpenter 139 g# major
Que Vuelvas,"que vuelvas carin leon, grupo frontera 162 a# major"
Feliz Cumpleaï¿½ï¿½os Fe,feliz cumpleaï¿½ï¿½os fe feid 95 f major
Can't Hold Us (feat. Ray Dalton),"can't hold us (feat. ray dalton) ray dalton, ryan lewis, macklemore 146 d major"
lovely - Bonus Track,"lovely - bonus track billie eilish, khalid 115 e minor"
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","rauw alejandro: bzrp music sessions, vol. 56 rauw alejandro, bizarrap 128 b major"
Queencard,queencard (g)i-dle 130 e minor
OMG,omg newjeans 127 a minor
Radio,radio lana del rey 150 d major
"Shakira: Bzrp Music Sessions, Vol. 53","shakira: bzrp music sessions, vol. 53 shakira, bizarrap 122 d minor"
Trance (with Travis Scott & Young Thug),"trance (with travis scott & young thug) travis scott, young thug, metro boomin 119 c# minor"
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","tere vaaste (from ""zara hatke zara bachke"") sachin-jigar, shadab faridi, altamash faridi, amitabh bhattacharya, varun jain 110 g minor"
Perfect,perfect ed sheeran 95 g# major
Romantic Homicide,romantic homicide d4vd 132 f# major
Believer,believer imagine dragons 125 a# minor
Novo Balanï¿½,"novo balanï¿½ veigh, bvga beatz, supernova ent, prod malax 124 d# minor"
"Gol Bolinha, Gol Quadrado 2","gol bolinha, gol quadrado 2 mc pedrinho, dj 900 133 b minor"
Without Me,without me eminem 112 g major
Stargirl Interlude,"stargirl interlude the weeknd, lana del rey 90 f minor"
Ojitos Lindos,"ojitos lindos bomba estï¿½ï¿½reo, bad b 80 d# minor"
Somewhere Only We Know,somewhere only we know keane 172 a major
Those Eyes,those eyes new west 120 e major
El Gordo Trae El Mando,el gordo trae el mando chino pacas 140 g minor
Mi Bello Angel,mi bello angel natanael cano 128 a minor
Nosso Quadro,"nosso quadro ana castela, agroplay 160 a major"
Locked Out Of Heaven,locked out of heaven bruno mars 144 f major
Un Finde | CROSSOVER #2,"un finde | crossover #2 big one, fmk, ke personajes 192 b major"
Counting Stars,counting stars onerepublic 122 c# minor
PRC,"prc natanael cano, peso pluma 138 g minor"
One Dance,"one dance drake, wizkid, kyla 104 c# major"
Enchanted,enchanted taylor swift 164 g# major
Sure Thing,sure thing miguel 81 b minor
Every Breath You Take - Remastered 2003,every breath you take - remastered 2003 the police 117 c# major
The Night We Met,the night we met lord huron 174 d major
We Found Love,"we found love rihanna, calvin harris 128 c# major"
Let Me Down Slowly,let me down slowly alec benjamin 150 c# minor
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","am i dreaming (metro boomin & a$ap rocky, roisee) a$ap rocky, metro boomin, roisee 90 a minor"
Do I Wanna Know?,do i wanna know? arctic monkeys 85 f major
Demons,demons imagine dragons 180 d# major
ýýýýýýýýýýýý,ýýýýýýýýýýýý yoasobi 166 c# major
Reminder,reminder the weeknd 160 g# major
Shake It Off,shake it off taylor swift 160 g major
Why'd You Only Call Me When You're High?,why'd you only call me when you're high? arctic monkeys 92 d major
Shape of You,shape of you ed sheeran 96 c# minor
Creep,creep radiohead 92 g major
Car's Outside,car's outside james arthur 150 a major
Apocalypse,apocalypse cigarettes after sex 94 f major
Cheques,cheques shubh 90 e minor
Pink + White,pink + white frank ocean 160 a major
Just The Way You Are,just the way you are bruno mars 109 f major
Take Me To Church,take me to church hozier 129 e minor
Bebe Dame,"bebe dame fuerza regida, grupo frontera 157 g major"
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,you belong with me (taylorï¿½ï¿½ï¿½s ve taylor swift 130 f# major
Titi Me Preguntï¿,titi me preguntï¿ bad bunny 107 f minor
Better Than Revenge (Taylor's Version),better than revenge (taylor's version) taylor swift 146 b minor
Shut up My Moms Calling,shut up my moms calling hotel ugly 139 a minor
Es un Secreto,es un secreto plan b 95 f# minor
POLARIS - Remix,"polaris - remix feid, mora, saiko, quevedo 170 g# minor"
Ditto,ditto newjeans 134 f# minor
Take On Me,take on me a-ha 84 f# minor
